,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,Gabon,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",Pacific island small states,Post-demographic dividend,French Polynesia,South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),British Virgin Islands,World,Kosovo
10,1970,67.583,46.7184845197579,37.418,41.0347613835006,40.19,64.824,50.3513431813729,65.589,63.873,70.058,71.0185365853659,69.9146341463415,59.018,43.041,70.9719512195122,42.189,39.239,42.587,71.2563414634146,64.45,65.926,66.688,70.7444878048781,63.468,69.478,46.597,57.171,68.272,64.11,39.953,55.197,45.072,72.7004878048781,69.3304152082525,71.165,62.491,56.607,44.325,47.583,43.284,53.634,61.569,44.863,54.333,65.361,64.9266123110709,68.398,68.2781463414634,,68.927,69.440243902439,70.4471951219512,47.511,65.468,73.3434146341463,56.145,43.16,56.2373750222276,50.7691213667032,58.0364115190344,65.7272626926483,68.9107488295668,57.152,50.013,71.1059232544521,41.09,69.4100975609756,42.815,70.8223569305548,48.9245490344266,70.179512195122,61.713,71.6585365853659,,52.555,64.431,47.805,70.605,39.008,39.871,38.025,30.248,72.7708048780488,66.216,,49.439,64.825,60.469,71.0499512195122,54.44,43.878573913825,68.8126341463415,47.337,69.1646341463415,55.8911934937407,54.2062887307822,46.4061098777011,49.4896363527728,52.992,45.0487743529594,65.684,48.241,70.9015609756098,50.204,60.186,73.9339024390244,71.2134146341463,71.5587804878049,66.702,59.87,71.919756097561,60.4229756097561,53.575,,39.129,54.527,62.1634146341463,66.53,58.3850434168293,59.0736005220953,43.2434067560659,53.887795517738,58.8893528033747,51.3409291205308,54.5256117372432,50.6293034475576,70.9852823705192,69.460593903071,55.0081018855588,43.1994001971468,60.571,59.8236800223664,70.7474216050012,62.429,48.280751645597,51.41,44.3698302373441,44.3698302373441,58.2258788380303,50.804,40.603,56.178378794284,66.252517093097,58.6305014722395,50.6293034475576,48.280751645597,44.3698302373441,66.609,57.8409463137779,64.584
11,1971,67.975,47.1929422628056,37.923,41.5567211054069,40.554,65.618,51.2964239316846,65.541,64.208,70.683,71.0682926829268,70.1146341463415,59.353,42.965,71.0604878048781,42.581,39.559,25.996,70.8736585365854,65.607,66.151,67.163,71.0117073170732,64.204,68.502,47.061,57.586,68.598,64.699,40.753,55.745,45.688,73.0292682926829,69.5014811371977,71.685,62.732,57.565,44.992,48.251,43.656,54.043,62.051,45.581,54.813,66.301,65.0553421967421,68.918,68.4608536585366,,69.33,69.6770731707317,70.676756097561,47.358,64.335,73.4146341463415,56.782,43.67,57.089994012552,50.1738502337691,58.8606589567722,65.9779943975712,69.1072384164608,57.633,50.386,71.2599876094843,41.483,69.8151707317073,42.892,70.9657980057439,49.49907994905,70.0175609756098,61.796,71.9073170731707,,53.073,64.753,47.798,71.017,39.308,40.347,38.368,36.263,73.0095609756098,66.479,,50.484,65.193,60.555,71.4585365853659,54.966,44.2237902426072,69.1401707317073,47.719,69.0524390243903,56.5218658204938,54.3157238688292,44.1100114657732,48.2296449152042,53.576,42.2908260640382,65.956,48.632,71.6758536585366,51.124,60.909,73.5704878048781,71.7190243902439,71.8068292682927,66.795,61.612,72.8090243902439,60.6475609756098,54.258,,39.507,55.097,62.6121951219512,67.058,59.2511514170395,59.8849471652963,40.0573647659068,54.0009268990636,59.5993343113842,52.0360078890781,54.6159490272381,51.2975120766879,71.2904768502324,69.7567911263122,55.5713373460023,43.8150815682265,61.176,60.1927784291632,71.051181432677,62.681,46.712437362565,52.241,44.8708039688415,44.8708039688415,58.6377872413797,51.31,40.19,57.0344505300789,66.4991941924868,59.4624714374455,51.2975120766879,46.712437362565,44.8708039688415,67.09,57.9672379252118,64.874
12,1972,68.577,46.8973892484582,38.444,42.2497926046538,40.905,66.422,51.8644579883301,65.923,64.535,71.016,71.4575609756098,70.4634146341463,59.803,25.613,71.4051219512195,43.158,40.053,49.591,70.899512195122,66.373,66.413,67.672,70.8493170731708,64.453,69.961,47.497,58.032,68.929,65.35,41.586,56.3,46.294,72.9339024390244,69.9606341578404,71.868,62.281,58.418,45.724,48.9,43.933,54.36,62.569,46.305,55.309,66.716,65.1980416494763,69.462,68.7903658536585,,69.811,70.1765853658537,70.9067073170732,48.528,67.11,73.4390243902439,57.417,44.346,57.6889051845041,52.0023680132824,59.4110996843082,66.0657442645351,69.3306536026165,58.205,50.765,71.6125415691392,41.848,69.5921463414634,41.55,71.3505399789407,49.5058829894493,70.7073170731707,61.784,72.1073170731707,,53.605,65.072,48.026,70.827,39.673,40.915,38.698,43.284,72.7826829268293,66.822,,51.638,65.351,60.636,71.4560975609756,55.607,44.0236965504933,69.4417804878049,47.945,69.6646341463415,56.9740964568749,55.3530766599261,47.8688687921497,50.5216942448939,54.242,46.69392040985,65.371,49.025,71.021756097561,51.659,61.388,74.4558536585366,71.0780487804878,72.0753658536586,67.102,62.349,73.1536585365854,60.9949512195122,55.012,,40.224,55.476,63.009756097561,67.421,59.6548310471517,60.2516002153107,45.0468288046511,55.0565887535696,60.0911256240012,52.6073496113947,55.757097480276,51.8633094797314,71.3259538934659,70.0144192788676,56.1763804591105,44.1169464473273,61.807,60.4618039672896,71.2544689813811,62.936,49.627061757563,53.019,44.9873436571651,44.9873436571651,59.0709139747116,51.821,41.399,57.6329127799725,66.6705407102495,59.8294303101963,51.8633094797315,49.627061757563,44.9873436571651,67.143,58.7929243087486,65.193
13,1973,69.092,47.6923174333565,39.003,42.855047105512,41.27,67.14,52.5396833939872,66.323,64.611,71.349,71.8468292682927,71.0146341463415,60.045,37.275,71.6353658536586,43.596,40.548,49.828,71.3421951219512,67.183,66.488,68.216,71.0006585365854,64.622,71.888,47.975,58.472,69.167,65.963,42.451,56.861,46.854,73.1626829268293,70.1002774522687,72.148,63.905,59.389,46.556,49.324,44.096,54.7,63.06,46.881,56.008,67.953,65.5670311623625,70.02,69.1921951219512,,70.163,70.0226829268293,71.1128048780488,49.119,68.049,73.6821951219512,58.042,45.079,58.644670504466,52.4636112501074,60.257549487318,66.187444716444,69.4480881469614,58.837,50.852,71.7219911053934,42.252,69.7994634146342,41.635,71.4688037660151,50.102001562848,71.2236585365854,61.022,72.3560975609756,74.4975609756098,54.057,65.421,48.398,71.375,39.891,41.394,39.034,43.477,72.9819756097561,67.217,,53.003,65.752,60.683,72.109756097561,54.415,44.7605228289458,69.848487804878,48.208,69.5180487804878,57.6389370776751,55.987905487165,48.3988596136813,50.9782532049083,54.85,47.2544809598143,66.555,49.539,71.2399756097561,52.946,62.03,74.4509756097561,71.6934146341464,72.0263414634146,67.551,62.908,73.2951219512195,61.2773902439024,55.677,,40.024,55.971,63.4073170731707,67.578,60.1717167758422,60.7976876363746,45.6292498842357,55.7004229212362,60.9020858225018,53.2215133099682,56.3963357839524,52.4340550171065,71.5295295837229,70.200844461822,56.5802124744315,44.9851314601226,62.386,60.4294966553435,71.4249418077498,63.206,50.0858187594018,54.048,45.7087953569855,45.7087953569855,59.4153018023551,52.468,41.78,58.593833293954,66.8070724321099,60.3818664030384,52.4340550171065,50.0858187594018,45.7087953569855,67.809,59.2946512069211,65.522
14,1974,69.503,47.5980637543935,39.55,43.4976836506848,41.652,67.769,53.1944445309797,66.563,64.825,71.747,72.2360975609756,71.0121951219512,60.228,43.012,71.9858536585366,44.085,41.354,49.16,71.2080487804878,67.864,67.001,68.862,70.8546829268293,65.03,72.394,48.446,58.881,69.519,66.528,43.265,57.424,47.402,73.2375609756098,70.3520863206519,72.237,64.901,60.168,47.506,49.571,44.41,55.059,63.64,47.474,56.837,68.454,66.0673509532834,70.57,69.5290243902439,,55.23,70.0865853658537,71.4189268292683,49.524,68.785,73.8082926829268,58.65,46.034,59.2895569031915,52.9234517769777,60.85864544636,66.2889025176378,69.6638562467671,59.526,51.838,72.05551403824,42.243,70.0786097560976,39.453,71.7799029605556,50.235853361657,71.1348780487805,61.686,72.6048780487805,,54.567,65.591,48.777,70.638,40.137,41.954,41.757,40.186,73.4155853658537,67.583,,54.039,66.01,60.76,72.6121951219512,52.313,44.799448721761,70.1436585365854,48.419,69.2480487804878,58.1972000213272,56.4577302706899,48.5065174004051,51.307344219929,55.429,47.2611641324998,65.989,50.244,71.1755609756098,53.854,60.898,74.5117073170732,71.6617073170732,72.7343902439025,67.838,63.434,73.6721951219512,61.5249756097561,55.634,,39.803,56.266,63.8048780487805,67.93,60.5678783331693,61.2172785174568,45.5668846352835,56.1721990727474,61.4527821537965,54.0367093659604,56.8967180326869,53.2437565355351,72.0796677454948,70.5922676888031,56.0911189092784,45.4191975816241,62.962,61.0121676544131,71.7870615898921,63.501,50.5864951195658,54.668,45.9204616638043,45.9204616638043,59.2590949876324,53.086,41.785,59.2397800445583,66.9651265248677,60.8049469322613,53.2437565355351,50.5864951195658,45.9204616638043,68.025,59.7136334838228,65.83
15,1975,69.762,47.7598869102852,40.1,44.201253848732,41.191,68.328,53.7098580176017,67.081,64.962,71.977,72.6253658536586,71.1146341463415,60.337,42.982,71.9712195121951,44.681,42.307,50.292,71.049756097561,68.466,67.221,69.405,70.4570975609756,65.942,72.573,48.826,59.353,69.921,67.107,44.09,57.998,47.913,73.5217073170732,70.175972670731,71.651,66.279,60.917,48.346,49.718,44.471,55.323,64.27,46.628,57.89,69.4,66.2559831477977,71.079,69.6485365853659,,70.518,70.4146341463415,71.259243902439,49.87,69.171,74.0751219512195,59.236,46.972,60.0507748256988,53.3474414726839,61.5806958587778,66.118253044507,69.6173631397625,60.232,52.591,72.1251558650898,42.24,69.3543658536585,39.356,71.7989667427251,50.4822685841004,71.6736585365854,61.852,72.8536585365854,,55.035,65.874,49.246,71.816,40.591,42.444,42.053,35.812,73.3763658536586,67.971,,54.824,66.577,60.819,73.3682926829268,57.548,45.1666195224371,70.0019512195122,48.681,69.29,58.8008612699418,56.9768141440247,48.6913523794227,51.7971384949617,55.968,47.3051386917518,66.918,50.812,71.7530487804878,54.761,61.464,75.5787804878049,72.0451219512195,72.6473170731708,68.048,63.961,74.2470731707317,61.7906097560976,55.826,,11.995,56.471,64.1536585365854,67.892,61.0792266971188,61.7475818461984,45.4810004110952,56.7067780996345,62.161219224174,54.6619913311596,57.4522468909708,53.8460063494848,72.6935881991439,70.8925966100739,56.471220800578,45.8647719857597,63.526,61.045945070891,72.0949905457038,63.889,51.1911980647959,54.875,46.3064327040879,46.3064327040879,59.5336318143158,53.824,41.872,60.0037503928324,66.7757034128524,61.3435040566527,53.8460063494848,51.1911980647959,46.3064327040879,67.834,60.1661002675697,66.134
16,1976,70.035,48.3495880515137,40.645,45.0031631429918,41.163,68.704,54.0475335901867,67.228,65.161,72.359,73.0146341463415,71.5658536585366,60.521,43.144,72.119756097561,45.488,43.245,50.647,71.3948780487805,69.118,67.84,69.648,70.3968292682927,66.268,71.862,49.264,59.792,70.208,67.608,44.947,58.583,48.395,73.8560975609756,70.3205898664644,72.57,65.855,61.796,49.291,49.88,44.656,55.602,64.845,48.523,58.65,70.294,66.3921327941911,71.524,70.0280731707317,,71.04,70.5326829268293,71.7122195121951,50.058,68.985,73.739756097561,59.791,47.985,60.8855814154324,53.884096032353,62.3490804608273,66.1036715506373,69.7446094058107,60.89,53.365,72.4513066746737,42.656,68.9256829268293,41.895,72.0691482857956,50.9458056879808,71.8129268292683,61.975,73.1024390243903,,55.569,66.029,49.764,71.39,41.024,43.039,42.419,28.921,73.634,68.151,,49.169,67.032,60.892,72.819512195122,58.158,45.8441781997696,70.4553658536585,48.956,69.5731707317073,59.3466980223501,57.518621996316,49.2681012537539,52.2876544329406,56.514,47.9132267350674,67.162,51.388,71.8566097560976,55.7,63.715,76.9721951219512,72.9560975609756,72.9919512195122,68.425,64.49,74.6865853658537,61.6403414634146,55.895,,12.013,56.628,64.5024390243902,68.206,61.3321876040328,61.9835416356617,46.1002142345006,57.2629669479331,62.7825716956884,55.1449263800662,58.0023894188643,54.2816584446333,72.9529639804824,71.1660545456314,56.742845574565,46.4576979929029,64.143,61.6604536079506,72.3657599458047,64.378,51.7111820552236,54.627,46.9849522048662,46.9849522048662,59.7613833785249,54.658,42.036,60.8415727209606,66.782312527015,61.5768393393117,54.2816584446333,51.7111820552236,46.9849522048662,68.074,60.6258104647633,66.441
17,1977,70.264,48.6359051941044,41.228,45.7198894946875,41.437,69.121,55.3614703416697,67.861,65.364,72.546,73.3443902439024,71.9146341463415,60.627,43.513,72.7739024390244,46.176,44.147,51.197,70.8160975609756,69.604,67.88,70.041,70.2890243902439,66.518,72.083,49.734,60.24,70.719,68.075,45.789,59.169,48.838,74.2156097560976,70.2459730644075,72.833,67.402,62.538,50.184,49.995,44.763,55.806,65.424,49.047,59.568,71.288,66.5772206527745,71.895,70.1549512195122,,71.302,70.5734146341463,72.3073170731707,50.568,68.759,74.6324390243903,60.319,49.191,61.6378963593148,54.4875249773503,63.0571123689857,66.1196376392305,69.9533364272614,61.559,54.134,72.8907031228886,43.175,69.3248292682927,41.893,72.3941776016688,51.4758342353502,72.350243902439,62.273,73.3512195121951,,56.089,66.471,50.085,72.227,41.411,43.44,42.718,40.501,73.6708048780488,67.475,,55.816,67.922,60.955,73.319512195122,58.746,46.2124745848801,70.7443902439024,49.209,69.8480487804878,59.9037908315656,58.068940989328,49.8483576304615,52.6590011386598,57.081,48.5800662411634,67.281,51.909,71.9973902439024,56.577,64.228,76.3736585365854,72.9585365853659,73.3646341463415,68.534,64.981,75.2558536585366,61.853,56.486,,28.91,56.032,64.9,68.585,61.8799619158313,62.5467308320956,46.8177411640348,57.824533448077,63.3818638781139,56.4106530221852,58.5837359471765,55.599572709853,73.349134015993,71.5761357011522,57.314953986572,47.0086957159939,64.655,61.9111049427024,72.7498496587927,64.936,52.1965213082996,54.024,47.4478032114815,47.4478032114815,60.1742882736219,55.598,42.255,61.5972034392303,66.7774374716575,62.1544648374903,55.599572709853,52.1965213082996,47.4478032114815,68.163,61.120866652657,66.74
18,1978,70.494,48.7636045995518,40.271,46.269535088376,41.83,69.309,56.1121734938276,68.197,65.701,72.871,73.6741463414634,72.0121951219512,60.713,43.764,72.6980487804878,46.961,45.073,51.254,71.1846341463415,69.978,67.562,70.132,70.0817317073171,66.885,72.854,50.181,60.72,71.122,68.487,46.599,59.691,49.239,74.529756097561,70.1446657622575,73.211,68.074,63.218,50.927,50.28,44.537,56.065,65.954,49.67,60.306,72.239,66.9108096254166,72.201,70.4453414634146,,71.767,70.6439024390244,72.2904146341464,51.049,70.441,74.3929268292683,60.822,50.353,62.2697074695909,54.9790591559295,63.6444222379924,66.2259446334483,70.0252913219293,62.153,54.99,73.0425959428991,43.561,68.9206097560976,41.9,72.4851101767566,51.606901670607,72.8970731707317,62.527,73.6024390243903,75.9853658536585,56.659,66.695,50.571,72.548,41.901,43.583,43.033,40.793,74.358756097561,67.668,63.4146341463415,55.963,68.686,61.052,73.5756097560976,59.334,46.3933583223511,70.5387804878049,49.428,69.3939024390244,60.3821119624756,58.5141093467859,50.2182084485347,53.0207415191871,57.565,48.9480197934718,67.511,52.492,71.9963170731707,55.926,64.401,76.6492682926829,73.2073170731707,73.6931707317073,68.755,65.436,75.5846341463415,62.0656097560976,56.944,,36.982,56.91,65.1975609756098,69.012,62.244537770092,62.9148417276927,47.1366906122661,58.2822651711199,63.9115684791393,56.976034194739,59.0628657389551,56.1360160424553,73.4700371388448,71.7495936634753,57.4704674622356,47.2883533823628,65.187,62.3604482719594,72.8923945321371,65.549,52.7103029740916,53.245,47.7485869601625,47.7485869601624,60.3699286952358,56.477,42.504,62.2304427115109,66.8429125111406,62.5328098323562,56.1360160424553,52.7103029740916,47.7485869601624,67.644,61.481454943101,67.05
19,1979,70.778,49.261335737194,39.086,46.6737358706341,42.175,69.584,56.8262923498942,68.491,66.041,73.035,74.0039024390244,72.3121951219512,60.867,44.59,73.1936585365854,47.362,45.903,51.464,71.3082926829268,70.456,67.366,70.34,69.9336341463415,67.399,73.299,50.665,61.253,71.526,68.862,47.411,60.176,49.597,74.8663414634146,70.2477610926432,72.509,68.186,63.865,51.682,50.575,45.207,56.314,66.38,50.251,60.917,72.423,67.1658505989521,72.447,70.7440975609756,,71.895,70.749512195122,72.6301707317073,51.518,70.97,74.2192682926829,60.753,51.755,62.8867899540415,55.5667527309751,64.2303195904442,66.1563796190676,70.1393120878029,62.696,55.802,73.382613835865,43.972,68.7858536585366,42.807,72.7669849442334,51.8505478154833,73.1553658536586,62.941,73.8512195121951,,57.053,67.074,50.932,72.71,42.393,44.558,43.39,41.653,74.6210731707317,67.9,63.9548780487805,56.185,69.579,61.133,73.6731707317073,59.908,46.8042600172601,70.4273170731707,49.675,69.6153658536585,60.8808814705341,58.9850666675427,50.6460555923785,53.3616085954108,58.153,49.4093535369152,67.882,53.06,72.2680243902439,58.55,64.791,76.7731707317073,73.5073170731707,74.0026829268293,69.048,65.851,76.1087804878049,62.2545853658537,57.722,,42.279,57.083,65.5463414634146,69.677,62.6097282898376,63.2614466817255,47.6237248448008,58.763747442665,64.4022284536954,58.1652936801502,59.5533550098038,57.3647401973974,73.9078093467079,72.1059965997004,57.887620001606,47.6307767265977,65.672,62.7406607968009,73.2129841516514,66.235,53.2127303928623,52.2,48.2100289145998,48.2100289145998,60.7146441098504,57.268,42.81,62.8493710837017,66.7992352506555,62.8903418336418,57.3647401973974,53.2127303928623,48.2100289145998,67.463,61.9027523003643,67.389
20,1980,71.066,49.6365376633939,39.618,47.0152387693495,42.449,70.478,57.3023723911735,68.564,66.177,73.183,74.3336585365854,72.4634146341463,61.081,45.406,73.2070731707317,47.877,46.539,51.85,71.1575609756098,70.826,67.521,70.543,69.9277073170732,67.756,73.454,51.181,61.781,71.921,69.246,48.218,60.646,49.889,75.1021951219512,69.888984623612,73.428,68.84,64.42,52.27,51.041,45.473,56.593,66.868,50.8,61.368,72.899,67.3778364238777,72.752,70.8946829268293,,71.95,70.2780487804878,72.8003170731707,51.947,71.782,74.1017073170732,61.754,53.261,63.4386095163627,56.1172152646252,64.7169659570828,66.3966512025041,70.2710238128692,63.191,56.628,73.5295778625924,44.585,68.7956341463415,43.217,72.7896062169941,52.073318538897,73.44,62.734,74.0512195121951,,57.454,67.173,51.117,73.753,42.884,45.153,43.754,47.563,74.5462682926829,68.144,63.449756097561,56.024,69.861,61.229,74.6731707317073,60.485,47.214725632849,70.1753658536586,49.902,69.0617073170732,61.3138940793394,59.4175009454223,51.1517150028242,53.8572879752863,58.754,49.9053403384319,68.304,53.611,72.5954146341464,58.537,61.5,76.8465853658537,73.8756097560976,73.9431707317073,69.435,66.259,75.9890243902439,66.6243902439025,58.501,,47.57,57.286,66.0463414634146,70.341,63.0486135364428,63.6861631788072,48.0872917292033,59.2137105665364,64.8761880064118,58.5710060860009,60.0121610293324,57.7170936442408,73.7550313174667,72.1753939574991,58.5794031964645,47.7756417116503,66.158,62.8499762791294,73.2465787507495,67.14,53.7582889003551,47.975,48.5690341809932,48.5724557550331,61.2068888667187,57.846,43.06,63.4021123001071,66.9331566761324,63.3273880571914,57.7170936442408,53.7582889003551,48.5724557550331,67.715,62.2335555232378,67.685
21,1981,71.722,50.0570732913929,40.164,47.2971899672045,42.772,70.73,57.6929294718002,68.976,66.579,73.338,74.6634146341463,72.8121951219512,61.291,46.393,73.6217073170732,48.31,46.872,52.169,71.5719512195122,71.183,67.746,70.7,69.907512195122,68.068,73.684,51.619,62.333,72.12,69.54,49.034,61.125,50.159,75.4978048780488,70.3720501777774,73.858,69.909,64.975,52.734,51.517,45.72,56.827,67.197,51.312,61.593,73.799,67.672228321317,72.939,71.0241463414634,,71.941,70.7221951219512,73.0402195121951,52.262,73.232,74.2304878048781,62.194,55.276,63.939396869837,56.5528457766865,65.199343856042,66.6474908362112,70.5591958921683,63.662,57.138,73.8069455886335,44.905,68.9780487804878,43.608,73.125229633857,52.2064312309721,73.7465853658537,62.729,74.3,,57.816,67.634,51.269,73.567,43.324,44.476,44.07,48.109,74.9574390243902,68.45,63.0748780487805,55.972,70.077,61.311,75.3243902439025,61.016,47.5156566147369,70.3443902439025,50.268,69.1392682926829,61.7588939390892,59.8369003680335,51.5312996141555,54.3869052266339,59.138,50.1970834942382,69.079,54.175,72.9517804878049,56.715,59.331,76.5214634146341,74.2609756097561,74.3539024390244,69.859,66.714,76.3948780487805,66.7060975609756,61.165,,48.18,57.495,66.5463414634146,71.081,63.5176101893878,64.1735062002418,48.4198517778921,59.6272218005808,65.3877744540793,58.5153262960788,60.4376414766985,57.5745525212436,74.1548971344144,72.561832644178,58.9311468134584,48.0376074148407,66.658,63.0411744295425,73.5875523266399,68.012,54.3173899511318,48.161,48.9344192757817,48.9378194604499,61.5122112026169,58.392,43.312,63.9029523000635,67.2475401963567,63.8326351978654,57.5745525212436,54.3173899511318,48.9378194604499,68.371,62.6112833289265,67.989
22,1982,71.959,50.2968491379812,37.766,47.529378486773,43.051,71.023,58.0547979155265,68.937,66.89,73.458,74.9048780487805,72.9609756097561,61.447,47.29,73.8880487804878,48.813,47.602,52.54,71.1860975609756,71.47,68.436,70.875,70.0769024390244,67.955,73.746,52.053,62.856,72.297,69.841,49.853,61.57,50.303,75.7251219512195,70.4554733187317,74.87,70.299,65.463,52.919,52.085,45.92,57.019,67.531,51.895,61.67,74.654,67.9139094715839,73.13,71.1478780487805,,71.981,70.8078048780488,73.3331463414634,52.765,72.993,74.5512195121951,62.648,57.428,64.422512918026,57.0426718977201,65.667007759281,67.0235597382169,70.865354462709,64.11,57.948,74.148250735091,44.86,69.1268292682927,43.767,73.4033455831051,52.1848554253669,74.2980487804878,62.793,74.5,,58.106,67.903,51.383,73.342,43.925,46.377,44.374,48.596,75.2505365853659,68.712,63.1926829268293,50.134,70.32,61.406,75.4292682926829,61.527,47.7376637411728,70.4826829268293,50.551,69.3578048780488,62.2193426777706,60.2389589620665,51.7575900354922,54.6127362739237,59.757,50.4116128450186,69.1,54.732,73.2090487804878,57.734,59.733,77.0378048780488,74.109756097561,74.8146341463415,70.244,67.154,76.8736585365854,66.7878048780488,60.953,,48.736,57.718,67.0951219512195,71.498,63.8554348804234,64.5057573467189,48.7066348087474,60.0372603834424,65.8251958128234,59.0014181757988,60.8722947504065,58.0497068161057,74.4942475523425,72.9155490753869,59.3686647318428,48.2001453538284,67.167,63.2443381026612,73.9191444307154,68.884,54.8295859552884,51.105,49.1728942879083,49.176041684887,61.8622746867131,59.02,43.73,64.3858102366307,67.5780380263327,64.1749423181428,58.0497068161057,54.8295859552884,49.176041684887,69.869,62.9722143411253,68.302
23,1983,72.105,48.7033305923075,38.187,47.7852622311657,42.092,71.296,58.7873684326001,69.267,67.195,73.471,75.1463414634146,73.0121951219512,61.96,48.051,73.8690243902439,49.333,48.091,53.011,71.3863414634146,71.668,69.161,71.081,69.7948536585366,68.14,74.116,52.405,63.331,72.537,70.09,50.637,62.004,50.423,76.0604878048781,70.3897851694296,74.041,70.011,65.904,53.171,52.762,46.181,57.232,67.745,52.273,61.693,75.079,67.982749428465,73.309,71.2760975609756,,72.311,70.5914634146341,73.6221463414634,53.18,73.521,74.4204878048781,63.109,59.51,64.8434772123686,57.4796566910817,66.0453745784664,67.075518263633,70.908507031313,64.528,58.888,74.2197000013425,45.323,69.3756097560976,36.036,73.4488992135147,51.5786878218141,74.2009756097561,63.29,74.8,,58.601,67.942,51.622,74.524,44.382,46.923,44.635,49.007,75.5177317073171,64.219,63.3,58.718,70.59,61.491,75.2756097560976,62.137,46.5256400117755,70.2748780487805,50.871,68.9736585365854,62.6698692201121,60.5496893545249,51.5533161705558,54.9625031578793,60.273,49.9397861722703,69.716,55.281,73.2400975609756,58.748,60.061,76.8456097560976,74.4585365853658,74.640243902439,70.16,67.555,76.9219512195122,67.6621951219512,61.012,,49.485,57.985,67.5463414634146,72.02,64.449077949411,65.0534187467832,47.9790769310483,60.357152867657,66.2034498642011,60.4897105811602,61.3086339684398,59.6274972863127,74.6196276006958,73.0541013103269,59.6896462738224,47.9783213374272,67.677,63.655520480606,74.0154216501133,69.804,55.3727790356278,52.203,48.3288045748783,48.3321481923935,62.1039553488292,58.172,44.179,64.8056701683747,67.6196398271684,64.742490481737,59.6274972863127,55.3727790356278,48.3321481923935,70.939,63.2156405807288,68.641
