,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,Gabon,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",Pacific island small states,Post-demographic dividend,French Polynesia,South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),British Virgin Islands,World,Kosovo
29,1989,64596,301124880,10673168,201392200,11439498,3227943,51639,219021375,32165766,3448186,46288,63636,16814416,7619567,7076550,5373697,9937697,4979680,8895234,104893674,8876972,500349,265493,4481230,10170000,178695,58841,6949139,148003411,258759,253821,544209,1301671,2724109,27276781,110801640,139228,13128619,1118650000,11462943,11089222,34825891,2319177,31923117,419584,358150,3079001,6020383,10527187,146937,24888,777592,10361068,78751283,521104,69975,5132594,6980033,24889507,1575650445,1992092223,1791156275,359435266,837807042,10210185,55765843,314457467,2102131,1568131,46195954,418925771,470589503,4964371,772704,57766282,47490,956509,4803300,15052447,27688,6136166,999732,958239,448420,10089498,99224,55300,8805995,135759,752897,5686200,4913676,348860257,4767260,6784161,10481719,3395099883,4238116885,843017002,276216577,178949174,566800425,67740,852012673,3511009,53644736,17442590,252852,4518000,56671781,2373365,3310954,123069000,16249500,22387803,,8570928,73436,42449038,2210013,388933687,433393694,500927368,4163156247,1822788469,247406122,3881584969,220541237,274154622,1095110298,17344012,406731853,20494965,1749210,957909363,206571,1116147699,5270825,502447913,502517080,25113605,825952,5670619,1555164786,425325513,418420570,220541237,1116147699,502517080,15091,5202582534,1827000
30,1990,65712,309890664,10694796,206739024,11828638,3286542,53569,225923327,32637657,3556539,47818,63328,17065128,7677850,7175200,5483793,9967379,5133419,9131361,107147651,8718289,517418,270679,4494310,10189348,182589,59326,7096194,150706446,258868,261928,558442,1341474,2809221,27691138,110743128,140601,13342868,1135185000,11910540,11430520,35987541,2385435,32601393,431119,364563,3158253,6057836,10626680,145400,26027,788500,10333355,79433029,577173,69481,5140939,7129004,25518074,1601237332,2041043553,1818247576,361859039,842030509,10449837,57214630,315870845,2149960,1569174,47878073,420308868,483047361,4986431,780430,58044701,47479,983028,4802000,15446982,27317,6354145,1040616,973551,465549,10196792,99047,55600,9050115,138263,747116,5704500,5053234,358121820,4777368,6925331,10373988,3454425770,4319686835,865261065,284421830,182159874,580839235,68865,870452165,3513974,55793629,17658381,254826,4660000,56719240,2392030,3480587,123478000,16348000,23162269,,8910808,75124,42869283,1674938,396328556,441597528,513410293,4246144171,1847821462,256203998,3957384533,228846359,277373464,1104791543,17806417,417144782,20799523,1776243,964048985,211089,1141312704,5367179,516560181,516629688,25640496,854011,5827069,1580447407,427949024,426479901,226868111,1141312704,516629688,15617,5293395467,1862000
31,1991,67864,318544083,10745167,212172888,12228691,3266790,55434,230837072,33105763,3617631,48992,63634,17284036,7754891,7271300,5594828,10004486,5293046,9365064,109242834,8632367,535415,276058,4502386,10194050,186462,59021,7244891,153336445,259402,269860,567710,1380584,2898052,28037420,110469467,141557,13561945,1150780000,12369269,11777719,37194812,2452675,33272628,442277,372721,3239414,6100213,10713812,144403,27340,799061,10308578,80013896,628521,69141,5154298,7278402,26133905,1625903768,2088580891,1844603995,364392348,846364518,10686279,58611032,317411362,2039220,1561314,49937430,421744728,493847579,5013740,784832,58557577,46810,1009995,4835900,15843471,26988,6615734,1083536,993856,483142,10319927,99758,55500,9296814,140739,744096,5752000,5196887,367531126,4689022,7066055,10373400,3512455528,4400104121,887648593,292714523,185361228,594934070,69770,888941756,3534235,57990883,17846378,257797,4949000,56758521,2411867,3666379,123964000,16451711,23918235,,9259362,76612,43295704,1339500,403768603,449847635,525967892,4326435528,1871805819,263445808,4030332007,235243716,281077441,1115756696,18240116,427363888,21115534,1800161,971176019,215444,1166480561,5461070,530646532,530716971,26140490,889712,6042428,1604798136,430328718,434604864,233174871,1166480561,530716971,16090,5382536929,1898000
32,1992,70192,326933522,12057433,217966101,12632507,3247039,57283,236598334,33568285,3574555,50078,64659,17478635,7840709,7382050,5743085,10045158,5457778,9598555,111272102,8540164,554470,281973,4275730,10216470,190299,58595,7394419,155900790,260212,277416,545944,1420695,2991727,28371264,110111454,142011,13782297,1164970000,12838314,12128604,38332302,2520958,33939039,452990,381947,3321939,6152432,10783748,143912,28677,810431,10319123,80624598,623197,69112,5171370,7427340,26748303,1649253074,2134566607,1869453624,366266798,849816712,10914222,59989142,318746422,1921153,1533091,52011554,422972438,506292313,5041992,786859,58849943,46005,1037446,4873500,16241548,26945,6832195,1127152,1022904,501334,10399061,101040,55300,9544055,143173,744998,5800500,5344774,378502714,4575818,7205780,10369341,3567767393,4478741276,910973883,300471959,188558416,610501924,70307,907574049,3558430,59372016,18385673,261057,5123000,56797087,2434574,3866887,124425000,16439095,24655723,,9718215,77901,43747962,1620633,411115420,458008075,540073235,4404987014,1894353796,270652251,4099989442,241132429,284943859,1126417384,18570361,439447569,21439991,1822819,977958696,219621,1192390433,5552206,544828860,544899623,26545612,925165,6302926,1627823212,432000567,442658603,238968838,1192390433,544899623,16476,5470164577,1932000
33,1993,72360,335625136,14003760,223788766,13038270,3227287,59156,242994250,34027240,3457349,51174,65834,17634808,7905633,7494800,5555220,10084475,5706181,9840075,113418757,8472313,573755,288164,3942981,10239050,194177,58910,7544489,158440875,260995,284713,520838,1462262,3089146,28684764,110041924,142291,13998386,1178440000,13316448,12486773,39580844,2594168,34614735,463318,391749,3405372,6206775,10840934,144299,30038,825986,10329855,81156363,611231,69169,5188628,7576074,27354327,1671947065,2179380224,1893594516,367513928,852735458,11132829,61382200,320056200,1981419,1494128,53791672,424347768,519880341,5066447,789198,59106166,45096,1065390,4911100,16643633,27118,7046097,1168309,1056761,520236,10460415,102173,55200,9790619,145541,747189,5901000,5496841,390576688,4600463,7345940,10357523,3621503071,4556953494,935450423,308233041,191737287,627217382,70710,926351297,3576261,59755430,19295818,263725,5261000,56831821,2459062,4075759,124829000,16380672,25391830,,10243550,79093,44194628,1653645,418431327,466139063,555402795,4482824315,1915623786,276897626,4168150828,246410264,288662674,1136605361,18881697,453282283,21773017,1846876,984265557,223714,1219180082,5630987,559341649,559413902,26935348,953451,6448280,1650184274,433339079,450688569,244147588,1219180082,559413902,16855,5556623321,1965000
34,1994,74710,344418362,15455555,229675775,13462031,3207536,61037,249596194,34488696,3373713,52288,67072,17805468,7936118,7596550,5586408,10115603,5923394,10091256,115614891,8443591,593254,293997,3762330,10226955,198416,59320,7693722,160980472,261712,291935,521260,1503544,3187844,29000663,110021594,142466,14210674,1191835000,13802285,12848862,41511985,2669220,35295461,473478,401655,3489152,6261744,10887207,144630,31418,844444,10333587,81438348,623477,69198,5206180,7723934,27937006,1694420555,2223076958,1917553356,368354275,854892657,11347652,62775847,321026530,2042500,1462514,55620211,425406851,534413493,5088333,790803,59327585,44131,1093611,4836076,17040854,27282,7262112,1205882,1089617,539992,10512922,103174,55500,10037522,147843,749546,6035400,5652934,402287229,4652024,7486091,10343355,3674720648,4634770438,960049790,316476824,194928533,643572966,71094,945261958,3590386,59985749,20248073,266021,5399000,56843400,2484182,4278166,125178000,16145766,26133744,,10636353,80264,44641540,1641106,425740147,474258790,570349227,4560256953,1936398016,282903612,4236408990,251564545,292185983,1146214585,19221949,468345219,22105225,1870257,989907298,227682,1246157499,5693038,574019932,574094137,27353950,953737,6592998,1672325604,434279162,458715789,249198247,1246157499,574094137,17255,5642046034,1997000
35,1995,77050,353466601,16418912,235861484,13912253,3187784,62928,255803349,34946110,3322782,53401,68398,18004882,7948278,7684850,5932783,10136811,6046511,10353263,117793338,8406067,612934,299554,3750527,10193831,203556,59746,7841471,163515328,262303,299097,527536,1543634,3276706,29302311,109864246,142559,14416796,1204855000,14299727,13211647,43285791,2742309,35970101,483760,411382,3572856,6319517,10926703,145139,32802,862418,10327253,81678051,629619,69201,5233373,7869753,28478022,1716327374,2267616622,1940892820,368905312,856511549,11561683,64166908,321810273,2157220,1436634,57476536,426212138,548545703,5107790,792246,59543659,43805,1121964,4657722,17438874,27412,7468347,1242155,1117222,560740,10562153,104060,55800,10286786,150094,751689,6156100,5812832,413913354,4620030,7627316,10328965,3727380975,4712144657,984763682,324995506,198140162,659768176,71454,964279129,3608841,60794809,20948858,267468,5545000,56844303,2509372,4458195,125472000,15816243,26878347,,10919528,81481,45092991,1655222,433010808,482331291,585085744,4637327736,1956331335,289154944,4304146732,256953719,295640057,1155551702,19547007,483031809,22385536,1892547,995212216,231446,1272877742,5748195,589252781,589328085,27759071,953573,6888856,1693952154,434804610,466703013,254479053,1272877742,589328085,17674,5726736488,2029000
36,1996,79417,362985802,17106595,242200260,14383350,3168033,64147,261953764,35389362,3298898,54500,69798,18224767,7959017,7763000,5930507,10156637,6203860,10621210,119876868,8362826,632756,304933,3907751,10159569,209840,60129,7989367,166037122,262793,306196,537494,1582169,3363570,29610218,109626194,142898,14615483,1217550000,14810946,13575324,44118709,2816595,36632573,494288,421007,3656234,6376465,10963031,146306,34194,880058,10315241,81914831,644649,69166,5263074,8012314,28984634,1737860521,2314334474,1964042971,369661127,858209225,11775221,65565195,322570180,2264073,1415594,59347649,426906931,560925893,5124573,796538,59756533,44138,1150601,4491699,17844010,27491,7683115,1279070,1140604,582573,10608800,104846,55900,10536942,152261,753571,6435500,5976550,425839678,4557097,7770593,10311238,3779600328,4789545395,1009945067,333878799,201373791,676066268,71981,983281218,3637510,61598378,21639332,268916,5692000,56860281,2532894,4608676,125757000,15578227,27615736,,11182612,82832,45524681,1703318,440183193,490304061,599913754,4714457805,1975855844,295366235,4371426694,262236018,299064347,1164716390,19901069,495937962,22614347,1917072,1000693857,235189,1299407301,5797140,605109645,605186062,28194606,973587,7200291,1715256519,435461598,474585894,259648021,1299407301,605186062,18120,5811580202,2059000
37,1997,81858,372352230,17788819,248713095,14871146,3148281,64682,268158920,35815971,3271418,55578,71218,18423037,7968041,7838250,5923862,10181245,6387026,10897353,122039226,8312068,652643,310171,4047748,10117433,217117,60497,8137619,168546707,263224,313215,546865,1619354,3458472,29905948,109422013,143549,14809289,1230075000,15335453,13941181,44822198,2875037,37291946,505033,430654,3739421,6430969,10998129,146956,35579,897471,10304131,82034771,667786,69081,5284991,8150076,29476031,1759221230,2361095210,1986768093,370276347,859711482,11987838,66993728,323308056,2291561,1399535,61233480,427549432,573118372,5139835,804572,59969944,44495,1179806,4349913,18268040,27564,7842806,1317002,1162443,605570,10661259,105549,56000,10788362,154330,755211,6489300,6144112,437721228,4534920,7915172,10290486,3831608284,4866752668,1035144384,342814697,204628007,692329687,72793,1002335230,3674171,62480533,22330770,271128,5836000,56890372,2554954,4733665,126057000,15334405,28364264,,11431569,84308,45953580,1761468,447290040,498199382,614755340,4791350281,1995080443,301680248,4438594720,267566671,302623445,1173865390,20269198,508962926,22827373,1945783,1005936747,239036,1326007987,5842638,620988006,621065325,28645950,990734,7450874,1736404220,436014905,482400078,264860153,1326007987,621065325,18591,5896055962,2086000
38,1998,84355,381715600,18493132,255482918,15366864,3128530,65186,274376380,36233195,3240550,56603,72572,18607584,7976789,7913000,6035340,10203008,6584183,11201063,124350471,8256786,672484,315398,4115059,10071963,224907,60943,8286928,171039804,263642,320152,557143,1655699,3555064,30155173,109238340,144211,14996742,1241935000,15858990,14314599,45895524,2937166,37944414,515959,440214,3821421,6484492,11033758,144472,36947,914660,10294373,82047195,694920,68938,5304219,8282126,29924668,1779787562,2407186134,2008680261,370591102,860876126,12199693,68446011,323978576,2322753,1386156,63136493,428122323,585815261,5153498,813947,60192790,44865,1209832,4243607,18714708,27636,7992545,1356189,1184071,629734,10720509,106200,56100,11046215,156357,756697,6543700,6308537,449883034,4532135,8060896,10266570,3882839036,4943424234,1060585198,351849692,207855486,708735506,73727,1021434576,3712696,63461421,23053488,274047,5971000,56906744,2576567,4844403,126400000,15071640,29137373,,11669077,85805,46286503,1819544,454334962,506010566,629930825,4867621521,2013531302,308041622,4505163245,272938873,306070116,1182690089,20646215,523022619,23023636,1976146,1010875500,242882,1352849350,5885083,637119672,637198518,29106853,1005158,7709115,1756774303,436294062,490145696,270162305,1352849350,637198518,19079,5979726559,1966000
39,1999,86867,391486231,19262847,262397030,15870753,3108778,65655,280650496,36653031,3206030,57594,73821,18812264,7992324,7982750,6180180,10226419,6788589,11533554,126754824,8210624,692133,320272,4153014,10026738,232733,61285,8439052,173486281,264170,327045,570990,1691558,3655360,30401286,109060951,144811,15176410,1252735000,16345894,14698973,47227238,3016659,38585033,526443,449627,3901430,6535399,11070094,139428,38295,931600,10283860,82100243,719371,68698,5321799,8411374,30346083,1799013672,2452952807,2028993034,370546751,861848594,12412046,69907887,324784751,2356477,1390244,65077579,428828749,599148682,5165474,823422,60504420,45203,1240764,4157192,19176791,27695,8174897,1396499,1206474,655029,10761698,106823,56100,11311078,158395,758014,6606500,6477365,462533086,4512597,8208941,10237530,3932457638,5019066614,1086608976,361007750,210996910,725601226,74668,1040500054,3754786,64474745,23820734,277381,6125000,56916317,2596271,4950775,126631000,14928374,29965129,,11899006,87289,46616677,1877427,461289769,513714410,645681010,4942884760,2030612791,314472124,4570304767,278356861,309502571,1191524686,21041578,537918075,23204498,2006341,1015710581,246821,1379874856,5923852,653802851,653883261,29583318,1018370,7981889,1775819557,436191659,497788851,275508430,1379874856,653883261,19586,6062288850,1762000
40,2000,89101,401600588,19542982,269611898,16394062,3089027,66097,287065982,37070774,3168523,58230,75055,19028802,8011566,8048600,6307659,10251250,6998023,11882888,129193327,8170172,711442,325014,4179350,9979610,240406,61833,8592656,175873720,264657,333926,587207,1726985,3759170,30685730,108447824,145306,15351799,1262645000,16799670,15091594,48616317,3134030,39215135,536758,458251,3979193,6582141,11105791,133860,39658,948237,10255063,82211508,742033,68346,5339616,8540791,30774621,1817006555,2499206970,2048148696,370646199,862786211,12626507,71371371,325792924,2392880,1396985,67031867,429342455,612628069,5176209,832509,60921384,45660,1272935,4077131,19665502,27741,8336967,1437539,1230849,684977,10805808,107432,56200,11589761,160188,759051,6665000,6656725,475127894,4468302,8360225,10210971,3980362565,5093905754,1113543189,370910722,214072421,742632467,75562,1059633675,3805174,65544383,24628858,281205,6289000,56942108,2612205,5056174,126843000,14883626,30851606,,12118841,88826,47008111,1934901,468125382,521281149,661430964,5017754094,2046026051,321037453,4635160614,283899110,312909974,1200179492,21437978,553089230,23367059,2035672,1020793420,250927,1406945493,5958482,671131355,671212486,30055791,1030496,8259137,1793649873,435816101,505304844,280976957,1406945493,671212486,20104,6144321462,1700000
41,2001,90691,412001885,19688632,277160097,16941587,3060173,67820,293512340,37480493,3133133,58324,76215,19274701,8042293,8111200,6465729,10286570,7212041,12249764,131670484,8009142,730257,329626,4194932,9928549,248100,62504,8746084,178211881,265377,340748,603234,1761930,3844773,31020902,107660041,146044,15523978,1271850000,17245468,15493253,50106657,3254101,39837875,547741,465958,4053222,6626803,11139127,129047,41054,964830,10216605,82349925,765490,68153,5358783,8669040,31200985,1834101877,2545843129,2066530023,370739184,863909133,12845521,72854261,326862028,2461927,1388115,69018932,429910140,626414685,5188008,841320,61367388,46245,1306590,4014373,20195577,27721,8445717,1479449,1257380,719270,10862132,107936,56350,11871565,161524,759809,6714300,6837861,488040621,4299642,8511728,10187576,4027427875,5168706338,1141278463,381142622,217112437,760135841,76398,1078970907,3866243,66674851,25425663,284968,6439000,56974100,2625405,5163310,127149000,14858335,31800343,,12338192,90531,47370164,1991674,474817217,528688278,677492970,5092597797,2060709239,327691655,4699673503,289544085,316052361,1209244377,21823886,568734640,23512522,2064193,1025680403,255049,1434314654,5988095,689080780,689161982,30514882,1041396,8538804,1810599718,435418872,512664811,286546301,1434314654,689161982,20657,6226348086,1701154
42,2002,91781,422741118,21000256,284952322,17516139,3051010,70849,300018650,37885028,3105037,58177,77195,19495210,8081957,8171950,6648938,10332785,7431783,12632269,134139826,7837161,748324,334002,4198410,9865548,255987,62912,8900583,180476685,266455,347463,619048,1795130,3930648,31360079,106959751,147167,15693790,1280400000,17683897,15914033,51662071,3331158,40454050,559047,473231,4122623,6671842,11170051,129205,42456,982194,10196916,82488495,789129,68262,5375931,8795101,31624696,1850472928,2591204247,2083969920,370807684,865474170,13070609,74393759,328443707,2547424,1379350,71073215,430898141,641818620,5200598,849891,61816234,46813,1341696,3978515,20758326,27892,8577790,1522223,1285678,754115,10902022,108231,56609,12147518,162563,760323,6744100,7019908,502494432,4302174,8661546,10158608,4073344085,5243283354,1169939269,390704440,220115092,779234829,77183,1098313039,3931947,67327117,26255343,287523,6570000,57059007,2638244,5275532,127445000,14858948,32779823,,12561779,92400,47644736,2047364,481353718,535935546,695099275,5167128185,2074581734,333949565,4762356287,294813993,319048184,1218395986,22208079,586023563,23638411,2091909,1030818658,259137,1462070145,6011275,707609717,707693440,30971830,1050809,8838369,1826844868,435070718,519865563,291738620,1462070145,707693440,21288,6308140970,1702310
43,2003,92701,433807484,22645130,292977949,18124342,3039616,73907,306573087,38278164,3084102,57941,78075,19720737,8121423,8234100,6860846,10376133,7659208,13030591,136503206,7775327,778256,338490,4183757,9796749,263998,63325,9057378,182629278,267499,354045,634627,1826863,4026841,31644028,106624167,148341,15859112,1288400000,18116451,16354326,53205639,3424653,41057687,570130,480089,4188610,6716747,11199217,131897,43862,1000350,10193998,82534176,806411,68442,5390574,8919852,32055883,1866240858,2635731526,2100610344,371072025,867701442,13301184,75963322,330208234,2653390,1370720,73168838,432434810,658026690,5213014,858306,62256970,47392,1378398,3951736,21329514,28301,8772254,1566257,1315653,789681,10928070,108740,56765,12415334,163385,760562,6730800,7201881,517663749,4303399,8812245,10129552,4118689510,5317576423,1198886913,399995493,223080121,798891420,77939,1117415123,3996521,67954699,27068823,289521,6689700,57313203,2651027,5396117,127718000,14909019,33767122,,12787710,94302,47892330,2101506,487688819,542976557,713279960,5241165329,2088091467,340215354,4823952498,300102895,321815286,1227425785,22590088,604077372,23781707,2119122,1035935060,263173,1489358080,6026849,726702652,726785433,31425957,1058797,9196366,1842469495,435154320,526861169,296947926,1489358080,726785433,21982,6389462496,1703466
44,2004,93540,445281555,23553551,301265247,18771125,3026939,76933,313249616,38668796,3065745,57626,78941,19932722,8171966,8306500,7120496,10421137,7894554,13445977,138789725,7716860,833451,343089,4142860,9730146,272128,63740,9216279,184722043,268505,360461,649991,1859085,4115138,31940655,106331716,149538,16017966,1296075000,18544903,16809407,54815607,3543012,41648268,581154,486583,4252800,6760372,11225294,134192,45286,1018684,10197101,82516260,818373,68574,5404523,9043127,32510186,1881561559,2680567394,2116651449,371533136,870270838,13534593,77522427,332006792,2763140,1362550,75301026,434059923,674005044,5228172,866694,62716306,47989,1417110,3927340,21906444,28716,8961039,1612225,1347009,826355,10955141,109516,56911,12682108,164004,760424,6783500,7383407,532571131,4304600,8961489,10107146,4164013241,5391795246,1227782005,409622323,225938595,818159682,78677,1136264583,4070262,69061674,27858948,292074,6809000,57685327,2664024,5532423,127761000,15012984,34791836,,13016371,96224,48082519,2153481,493917791,549897638,731086901,5315125594,2101411095,347044925,4885771219,305945780,324809693,1236496893,22986615,621974508,23948930,2146140,1041241254,267132,1515703001,6035655,746464327,746546802,31893127,1065764,9613503,1857622964,435471706,533741619,302709154,1515703001,746546802,22715,6470924346,1704622
45,2005,94483,457153837,24411191,309824829,19450959,3011487,79826,320558754,39070501,3047246,57254,79869,20176844,8227829,8391850,7388874,10478617,8149419,13876127,140912590,7658972,901921,347804,4094297,9663915,280375,64154,9377388,186797334,269477,366717,663323,1892807,4208834,32243753,106041911,150763,16175311,1303720000,18970215,17275171,56550247,3672839,42220940,592683,492827,4315887,6802474,11246114,137658,46727,1037062,10211216,82469422,830861,68674,5419432,9164768,32956690,1896788261,2725013738,2132517760,372077135,872913705,13770012,79075310,333709006,2831732,1354775,77469940,435600393,690401342,5246096,874923,63188395,48291,1458353,3902469,22496951,29155,9140114,1660368,1379713,864726,10987314,110254,56935,12948292,164430,759709,6813200,7564613,547936900,4310145,9111900,10087065,4208938572,5465994258,1257055686,419337831,228805144,837717855,79415,1154638713,4159914,70182594,28698684,296734,6930100,57969484,2676863,5678534,127773000,15147029,35843010,,13246583,98164,48184561,2235403,500076606,556739532,749189504,5389050292,2114895075,354462370,4947163680,311948573,327824506,1245447053,23450481,640493810,24100982,2172802,1046468599,271060,1541263909,6037817,766895808,766978666,32425757,1071886,10005012,1872697597,435872410,540553499,308628177,1541263909,766978666,23497,6552700448,1705780
46,2006,95606,469508516,25442944,318601484,20162340,2992547,80221,328703057,39476851,3026486,56837,80895,20450966,8268641,8484550,7658190,10547958,8402631,14316242,142628831,7601022,970981,352664,4058086,9604924,288729,64523,9542663,188820682,270425,372808,673260,1928704,4294352,32571174,105772481,151985,16334575,1311020000,19394057,17751333,58381630,3813323,42772910,604658,498884,4378172,6844183,11260630,141239,48177,1055438,10238905,82376451,846947,68742,5437272,9284168,33435080,1911721676,2769421149,2148405823,372780224,875627934,14009061,80629670,335250759,2880093,1346810,79691050,437014860,707149927,5266268,883083,63628261,48313,1502534,3880347,23098586,29587,9330625,1711294,1414091,905418,11020362,110988,56774,13213330,164675,758367,6857100,7745200,563930944,4311159,9266288,10071370,4252600296,5539726956,1287126660,429250772,231797427,857875888,80228,1172373788,4273591,71275760,28905607,303782,7053700,58143979,2689660,6075548,127854000,15308085,36925253,,13477779,100083,48438292,2363409,506094784,563424119,767538041,5462498035,2128519993,362633997,5007185008,317983066,331015609,1254649810,24035320,659115651,24235761,2199540,1052106032,274901,1565892885,6034436,788025400,788110000,33079043,1077735,10365614,1887496209,436426410,547224720,314576732,1565892885,788110000,24323,6635110367,1719536
47,2007,96787,482406426,25903301,327612838,20909684,2970017,78168,337498222,39876111,3004393,56383,82016,20827622,8295487,8581300,7944609,10625700,8647761,14757074,144135934,7545338,1040532,357666,4007876,9560953,297173,64888,9711152,190779453,271444,378748,681614,1966977,4375569,32889025,105378748,153225,16495538,1317885000,19817700,18251866,60289422,3956329,43306582,616899,504733,4440019,6884705,11269887,144056,49647,1073873,10298828,82266372,865196,68775,5461438,9402206,33983827,1926306467,2813790790,2164155292,373485209,878456268,14251835,82218755,336971054,2926168,1340680,81996185,438484072,723853346,5288720,890648,64021737,48361,1549774,3860158,23708320,29996,9547082,1764883,1450572,948814,11048473,111725,56555,13477017,164763,756521,6916300,7924462,579864063,4310217,9420826,10055780,4294824957,5612590218,1317765261,439576756,234858289,878188505,81100,1189691809,4398942,72319418,28660887,311566,7180100,58438310,2701221,6473457,128001000,15484192,38036793,,13714791,101998,48683638,2506769,511989821,569972223,785635469,5535250735,2142132712,371324802,5066239963,324080392,334185120,1263898853,24697686,677333522,24356506,2226078,1058252873,278178,1589454615,6044131,809934231,810019264,33808469,1084008,10722731,1901960228,436798968,553771247,320585896,1589454615,810019264,25191,6717567584,1733404
48,2008,97996,495748900,26427199,336893835,21691522,2947314,76055,346630443,40273769,2983421,55891,83251,21249199,8321496,8763400,8278109,10709973,8906469,15197915,145421318,7492561,1110343,362795,3943392,9527985,305671,65273,9880593,192672317,272635,384568,689737,2007320,4467233,33247118,105001883,154475,16661462,1324655000,20244449,18777081,62249724,4089602,43815313,629470,510336,4501921,6923924,11276609,145880,51123,1092390,10384603,82110097,882886,68782,5493621,9522948,34569592,1940768141,2857587007,2179914111,375012208,882088404,14496797,83844783,338599969,3005779,1337090,84357105,439892213,741306396,5313399,896731,64379696,48411,1599978,3848449,24326087,30398,9779785,1820542,1488431,994971,11077841,112478,56328,13739299,164725,754150,6957800,8101777,596301357,4309705,9575247,10038188,4338065967,5686534868,1348468901,450269469,237936543,898199432,81997,1206734806,4489544,73318394,29218381,317414,7308800,58826731,2711373,6632873,128063000,15776938,39186895,5318700,13943888,103966,49054708,2650930,517759389,576386180,803947600,5609097906,2156046215,380294099,5126457124,330293304,337406357,1273582053,25375277,697003893,24469047,2251506,1064631968,280558,1612709085,6068099,832555779,832642735,34550707,1089870,11098664,1916309337,437985547,560186837,326701327,1612709085,832642735,26115,6801440971,1747383
49,2009,99212,509410477,27385307,346475221,22507674,2927519,73852,355754908,40684338,2964296,55366,84534,21691653,8343323,8947243,8709366,10796493,9172514,15650022,146706810,7444443,1179453,368057,3877750,9504583,314171,65636,10051317,194517549,273791,390311,697678,2048997,4564540,33628895,104800475,155721,16833447,1331260000,20677762,19319274,64270232,4257230,44313917,642493,515638,4563127,6964240,11283185,146833,52602,1110974,10443936,81902307,901103,68787,5523095,9648061,35196037,1955042105,2901329923,2195169711,376867673,885659803,14742766,85501064,339682801,3083888,1334515,86755585,440934530,759795159,5338871,901383,64710879,48429,1653542,3814419,24950762,30819,10021323,1878119,1527196,1043686,11107017,113249,56323,14000190,164580,751258,6972800,8277302,613535903,4305181,9730638,10022650,4382047562,5761985631,1379938069,461410153,240981299,918527916,82915,1223640160,4535375,74322685,30289040,318499,7485600,59095365,2722401,6780493,128047000,16092822,40364444,5383300,14155740,105996,49307835,2795550,523473668,582738079,823002155,5684268515,2169857353,389332369,5187659372,336675037,340466060,1282495531,26013714,718121906,24581509,2276149,1070085408,282283,1636411632,6091188,855798400,855885698,35254103,1094886,11496128,1930470829,439691944,566539590,332985938,1636411632,855885698,27044,6885663352,1761474
