,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,Argentina,Armenia,American Samoa,Antigua and Barbuda,Azerbaijan,Burundi,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Central Europe and the Baltics,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cayman Islands,Cyprus,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Eritrea,Estonia,Ethiopia,Fragile and conflict affected situations,Gabon,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guam,Guyana,Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,"Iran, Islamic Rep.",Iraq,Israel,Italy,Jamaica,Jordan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),World
10,1981,,,,,,,48.111011505127,,,,,,,,,29.2272300720215,,69.7535095214844,,,,,,,77.7354965209961,,,,,,,,,,,,,,,,97.8466491699219,,,73.064567565918,,68.7582092285156,51.8327293395996,70.3761291503906,,,,,,,,,,,,,,,,90.512321472168,,,,,,,,,,65.5097579956055,61.978931427002,44.9217414855957,46.7186813354492,,44.0439414978027,40.7635917663574,,,,96.4605407714844,,,,,,,,,80.1885833740234,81.0647583007812,40.6948585510254,61.3946914672852,73.1783828735352,48.4222602844238,62.4480285644531,45.4087715148926,,,,,,38.6315689086914,,,,,,,68.325927734375,,80.4641571044922,45.0901412963867,38.6315689086914,,68.2919082641602
11,1982,,,,,,,48.676830291748,,,,,,,,,,,,,,,,,,,,,,97.9756164550781,91.1284027099609,65.5050888061523,,,,,,,,,,,,,,,69.4256820678711,52.7697486877441,70.9697113037109,,,83.5526885986328,,,,,,,,,,,,,,,,,,,,,34.734691619873,,66.2449722290039,62.6555404663086,45.3152885437012,47.3641891479492,,44.3144111633301,,,,,,,,,,,,,,80.5832290649414,81.446418762207,40.9789199829102,62.0813903808594,73.711181640625,49.2459602355957,63.1602897644043,46.2227592468262,,,,,,39.8255500793457,,,,,,,69.0026321411133,,80.8554534912109,45.9108810424805,39.8255500793457,,68.8494873046875
12,1983,,,,,,,48.8991813659668,,,,,,,,,,,,,,,,,,,,,,97.9990005493164,,,,,,,,,,,,,,,,,70.8339767456055,53.3884696960449,72.248649597168,93.6717376708984,,,,,,,,,,,,,,,,,,,,,,,,,67.1964797973633,63.4993515014648,45.6387901306152,47.6773986816406,,44.6429481506348,,,,91.7514114379883,,,,,,,,,,80.9857177734375,81.8425598144531,41.3109016418457,62.9377098083496,74.884147644043,50.0341796875,64.0503311157227,47.0912284851074,,,,,,40.4792213439941,,,,,,,70.4304122924805,94.3016815185547,81.2618865966797,46.786548614502,40.4792213439941,,69.5503997802734
13,1984,,,,,,,49.6164398193359,,,,,,,,,,,,,,,,,,,,,,98.035026550293,,,,,,59.6191215515137,,,,92.6290435791016,,,,,,,71.9103622436523,54.1722984313965,73.2317276000977,94.5251388549805,,,,,,,,,,,,,,,,,,,,,,,,,68.0770111083984,64.2902679443359,45.9968185424805,47.9865188598633,,45.0248718261719,,,,,,,,,,,,,,81.3649826049805,82.2144012451172,41.6882400512695,63.740478515625,75.7721710205078,50.9099388122559,64.8835830688477,48.0327987670898,,,71.1927795410156,,,41.1337013244629,,,,,,,71.5216903686523,95.0243835449219,81.6431732177734,47.7359199523926,41.1337013244629,,70.2085189819336
14,1985,,,,40.2946510314941,,,50.5042190551758,,,,,,,,,,,,,,,,,,,,,,98.064338684082,,,,,,,,,,,,,,,,,72.9343719482422,54.8101081848145,74.1679763793945,94.7134094238281,,,,,,,,,,,,,,,,,,,,,,,,,68.8633880615234,65.0049667358398,46.3652496337891,48.2978897094727,,45.4211616516113,,,,,,,,,,,,,74.4908676147461,81.7317428588867,82.5733032226562,42.0791893005371,64.4657363891602,76.6293411254883,51.938060760498,65.6345825195312,49.1833000183105,,,71.5116500854492,,,41.7856597900391,,49.6685104370117,49.6741485595703,,,,72.5598678588867,95.1876068115234,82.0110321044922,48.8959503173828,41.7856597900391,49.6741485595703,70.8033981323242
15,1986,,,,40.5508308410645,,,51.3067283630371,,,,,,,,,,,,,,,,,,,,,,98.0940093994141,,,,,,,,,,,,,,,,,73.8549118041992,55.4405212402344,75.0007171630859,94.9094696044922,,,44.4239883422852,,,,57.9857406616211,,,,,,,,,,,,,,43.5294418334961,,,,69.5947113037109,65.671501159668,46.71875,48.6197814941406,,45.790111541748,,52.3197593688965,,,,,,,,,,,,82.0908432006836,82.9252777099609,42.4384002685547,65.1418914794922,77.3992233276367,52.8937797546387,66.337043762207,50.2370300292969,,,71.8418807983398,48.6153182983398,,42.4403686523438,,49.9879493713379,49.9936408996582,,67.2393798828125,,73.4931411743164,95.3574981689453,82.3716888427734,49.9584083557129,42.4403686523438,49.9936408996582,71.3579177856445
16,1987,,56.8589096069336,,41.2992706298828,,,51.9821090698242,,,,,,,,,,,,,,,,,,,,,,98.1299819946289,,,,,,,,,,,,,,,,49.6308784484863,75.0931930541992,56.3258094787598,76.1742477416992,95.100471496582,,,,,,,58.5153198242188,,,,,,,,,,,,,,44.1401901245117,,,,70.465461730957,66.4843978881836,47.2522010803223,49.2756309509277,,46.2637710571289,,,,,,,,,,,,,,82.4002380371094,83.2176132202148,42.9160003662109,65.9689407348633,78.1738662719727,53.7257194519043,67.185791015625,51.155689239502,,,72.4216384887695,49.3259010314941,,43.0980491638184,,50.6180686950684,50.6237487792969,76.5784606933594,,,74.7485504150391,95.5245895385742,82.6669692993164,50.8846817016602,43.0980491638184,50.6237487792969,72.0486831665039
17,1988,,57.1661911010742,,42.0324211120605,,,52.9797286987305,,,,,,,,,,,,,,,,,,,,,33.6244201660156,98.212890625,,,34.1392784118652,,,,,,,,,,,,,,79.3136215209961,57.0646591186523,79.9597702026367,95.2901916503906,,,,,,,59.0273590087891,,,,,,,,,,,,,,44.5109901428223,,,,72.7680206298828,68.5309066772461,48.0617713928223,49.9412117004395,,47.1436805725098,,,,,,,,,,,,,,82.8426513671875,83.7077102661133,43.8164901733398,68.0434036254883,81.7409362792969,54.8400688171387,69.3665924072266,52.2937088012695,,,73.0915832519531,49.8570899963379,,43.8453712463379,,51.0959815979004,51.1016807556152,77.0657501220703,,,79.0273818969727,95.7023010253906,83.1728973388672,52.0321311950684,43.8453712463379,51.1016807556152,73.7701568603516
18,1989,,57.6187515258789,,42.8251609802246,,,53.8549308776855,,98.7519607543945,,,,,,,,,,,97.8833694458008,,,,,,,,,98.2774124145508,,,,,,,,,,,,,,,,,80.0132369995117,57.7493515014648,80.6075134277344,95.3835830688477,,,,,99.7264404296875,,59.424919128418,,,,,,,,,,,,,,45.1465682983398,,,,73.4128799438477,69.1627578735352,48.6307716369629,50.4821510314941,,47.726390838623,,,,,,,,97.5293807983398,,,,,,83.2729721069336,84.1495132446289,44.4267692565918,68.6802825927734,82.3269424438477,55.8455085754395,70.0152130126953,53.3133583068848,,,73.7557678222656,50.578670501709,,44.6124305725098,,51.6848487854004,51.690559387207,77.5488128662109,,,79.7366790771484,95.7953186035156,83.6286926269531,53.060230255127,44.6124305725098,51.690559387207,74.303840637207
19,1990,,58.1800193786621,,43.6049385070801,,,54.795768737793,,,,,,37.3847198486328,,,,,,,,,,,,,,,,98.3453826904297,,77.7850570678711,,,,,,,62.7968597412109,,,,,,,,79.8271713256836,58.6378898620605,80.4611511230469,95.5611190795898,,88.2987594604492,,,,,59.9398384094238,,,,,,,,,,,99.3691482543945,,,45.7238807678223,,,99.0999984741211,73.7061386108398,69.5088424682617,49.2320098876953,51.1699600219727,81.5198516845703,48.2853317260742,,,,,,,,,,,,,,83.5946884155273,84.4631271362305,44.996711730957,69.0290908813477,82.1338195800781,58.235710144043,70.3557434082031,55.9071884155273,,,74.2870025634766,51.190731048584,,45.3591995239258,,52.3336791992188,52.3394012451172,77.9412078857422,,,79.5480270385742,95.9588928222656,83.9512100219727,55.6755485534668,45.3591995239258,52.3394012451172,74.6057662963867
