,Year,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",Pacific island small states,Post-demographic dividend,South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),British Virgin Islands,World,Kosovo
44,2004,115.828866802817,112.8,148.124428789562,175.5,21.5,6.3,52.6152309311117,17.1,25.1,13.5,5.8,5.1,55.7,131.7,5.2,124.4,159.1,68.3,14.2,11.0,16.9,9.0,9.4,21.3,59.8,26.5,15.8,9.5,61.2,73.7,153.6,6.1,10.4679683616039,9.3,26.3,129.4,131.1,141.8,93.4,22.2,87.2,28.6,11.5,24.3338030190665,7.6,5.0,4.6,4.9,91.0,19.0,5.0,36.9,35.3,33.6203645528775,67.8186249750194,31.8,27.0181461484354,16.5,24.5,37.6,5.047312366172,70.6,7.8,115.3,6.15673093730572,121.415182970606,3.9,23.0,4.8,76.6,26.2,86.1,141.8,95.9,151.5,138.0,4.9,15.1,44.4,42.3,31.4,121.996063249994,7.0,91.9,7.9,49.2116715075852,71.9098943974308,111.405645177979,119.914245470879,49.6,107.073457164911,77.7,5.6,28.1,40.9,3.2,5.8,4.6,19.2,23.9,3.9,33.2,80.8,,70.8,64.3,6.0,12.0,28.2445431048057,27.3,113.867123599855,72.4406466656569,25.0685200815046,36.1,63.9425528162833,38.7618739067136,7.9,11.4352096654993,83.2287044865021,131.643280647521,35.0,27.8157123943708,6.65309128367791,80.0,26.4,129.422388438293,129.5,69.943658552823,118.9,170.9,33.6027465020428,25.3728297885166,27.5123518581371,38.9629067423509,80.0648619179541,129.416809717724,15.5,66.0,33.8
45,2005,110.471932277019,108.6,142.895673135497,166.2,20.0,6.0,50.9579602168142,16.6,23.9,12.9,5.7,4.9,52.0,124.7,5.0,121.6,152.8,64.5,13.3,10.6,16.9,8.9,8.7,20.9,56.3,24.8,15.7,9.5,57.6,71.3,149.7,6.1,10.0239773226976,9.1,24.0,125.7,127.9,136.9,86.5,21.5,84.7,28.0,11.3,23.8655843267304,7.4,4.6,4.4,4.7,88.5,19.7,4.8,36.5,33.8,30.6067251043092,64.5559187838419,29.0,25.3098295089884,15.5,23.5,35.9,4.84501723405344,67.6,7.1,108.9,5.93298086157518,117.261951206745,3.7,23.3,4.6,74.3,23.7,83.5,137.2,91.8,145.2,133.5,4.6,15.1,42.7,41.4,30.0,116.64388132874,6.7,89.5,7.6,46.3790388176437,68.7426357488792,107.140143526592,116.55857212745,41.7,102.333053423212,74.4,5.2,26.3,40.0,3.1,5.6,4.5,18.9,23.2,3.7,31.1,76.0,,64.8,64.5,5.6,11.8,26.9655381854949,26.1,108.941243390839,69.2600990038967,23.079911110638,34.5,60.9816493944022,36.9932951553047,7.8,10.9961292415543,80.9095652022464,126.385433419706,33.0,27.8500097621294,6.48990225816219,76.8,25.0,124.153144051129,124.2,68.2479076938136,118.9,167.5,30.5772578269013,23.770481858245,26.2737577416788,37.1754389583485,76.8408584239913,124.147550785516,15.4,63.1,30.8
46,2006,105.457181745716,104.3,138.014558662861,156.8,18.5,5.6,49.3703985819209,16.1,22.7,12.3,5.6,4.7,48.7,117.5,4.9,118.9,146.0,61.0,12.4,10.2,16.8,8.6,8.0,20.6,53.1,23.2,15.6,9.5,54.1,68.8,145.3,6.0,9.33372425841945,9.0,22.0,122.1,124.6,132.2,80.0,20.9,82.4,27.8,11.2,23.4499761444594,7.2,4.3,4.1,4.6,86.1,20.5,4.6,36.1,32.3,28.8130460783686,61.7522582444238,27.3,23.6050736842501,14.6,22.6,34.3,4.67705019134065,64.7,6.5,102.8,5.65511996767176,113.101429626565,3.6,23.6,4.5,72.1,21.3,81.2,133.3,87.8,138.9,128.8,4.3,15.1,41.0,40.5,28.8,111.6524053435,6.4,87.3,7.2,43.9478551945827,65.9369860791221,103.20964686961,113.289489359252,39.9,98.0545032191892,71.1,4.9,24.7,39.0,3.0,5.3,4.3,18.7,22.6,3.6,29.0,71.6,,59.8,64.8,5.2,11.6,25.8099295244179,24.9,104.27156817661,66.4432224293143,21.4580279544402,32.9,58.402975249768,35.3250312453273,7.7,10.5255235990435,77.8377780274972,121.363117583927,32.4,27.8621467478372,6.34704206399155,73.8,23.7,119.197025190301,119.3,65.9302685050798,109.5,163.9,28.7701315751343,22.1775479203443,25.1452736423057,35.491075858282,73.822554278326,119.192000052568,15.3,60.5,28.2
47,2007,100.411263900067,100.0,133.515350645495,147.1,17.1,5.4,47.5330441348165,15.7,21.6,11.7,5.4,4.6,45.6,110.3,4.8,116.3,139.3,57.7,11.8,9.8,16.5,8.3,7.3,20.3,50.0,21.8,15.5,9.5,50.9,68.6,141.2,6.0,8.68364357561072,8.9,20.1,118.3,121.3,127.5,74.2,20.2,79.9,27.8,11.1,23.0973829269917,6.9,4.0,3.9,4.5,83.7,21.4,4.5,35.8,31.0,27.1244097433619,59.0428824463214,25.7,22.0389367126088,13.8,21.7,32.8,4.54826469321535,62.0,6.0,97.1,5.42275506669839,109.150182587587,3.5,23.8,4.4,69.6,19.1,78.7,129.8,84.1,132.6,124.1,4.1,15.1,39.4,39.7,27.7,106.90576242819,6.1,85.2,6.8,41.5440842670479,63.1552798759776,99.4012765515384,110.083916352913,38.3,93.8728761194682,67.8,4.6,23.1,38.1,2.9,5.1,4.2,18.4,21.9,3.5,26.9,67.6,,55.3,65.2,4.8,11.4,24.7165722402126,23.9,99.7681420983566,63.6461612095513,19.9235697606681,31.3,55.8924959359263,33.6027458631476,7.6,10.0562994681747,74.9845452011749,116.756582372685,32.2,27.8437216987877,6.17294081967978,70.9,22.5,114.389654739392,114.4,63.9822750819629,105.1,160.1,27.0654211096534,20.7123987796655,24.1001412178659,33.7493159487994,70.9138298613684,114.384697441397,15.3,58.0,25.8
48,2008,95.3811815990238,95.9,129.379974797983,137.5,15.8,5.1,45.8533635673687,15.4,20.5,11.2,5.2,4.5,42.7,103.5,4.7,113.8,133.1,54.7,11.4,9.3,16.2,7.9,6.6,19.9,47.1,20.6,15.3,9.5,47.8,68.8,137.5,5.9,8.20836493635949,8.9,18.5,114.4,117.8,123.0,69.3,19.6,77.5,27.6,10.9,22.5635155145163,6.7,3.8,3.7,4.4,81.2,22.4,4.3,35.5,29.8,26.4918985910288,56.8049773264054,25.2,20.5738932049539,13.0,20.8,31.4,4.43077208952113,59.6,5.5,91.7,5.24589307086618,106.49027762342,3.3,23.8,4.4,67.1,17.2,76.1,126.9,80.6,126.3,119.6,4.0,15.2,37.8,38.8,26.6,102.505950073888,5.9,83.3,6.5,39.209334050871,60.6561791228674,96.4946123005615,107.045287858869,36.7,90.9723493587953,64.5,4.4,21.7,37.0,2.8,4.9,4.1,18.1,21.3,3.4,24.7,62.7,33.8,51.4,65.4,4.5,11.2,23.7124758189254,23.0,96.661312714069,61.1360895880217,18.5889138430548,29.8,53.7101395836512,32.0445044342089,7.5,9.65030704995671,72.0328446591991,112.455923746543,31.8,27.7353158797878,6.02766049107165,68.0,21.4,109.735724993256,109.8,61.6926036351533,103.7,156.3,26.4310251319939,19.3206406698391,23.1592552222039,32.1781640016977,67.9309299300749,109.730924279173,15.0,55.7,23.8
49,2009,90.7111291854921,91.8,125.524282304507,128.5,14.5,4.8,44.3038400628393,15.0,19.5,10.6,5.0,4.5,39.9,97.0,4.6,111.4,127.2,51.8,11.1,8.9,15.8,7.5,6.1,19.5,44.4,19.6,15.1,9.6,45.0,65.9,133.5,5.8,7.7782679165219,8.8,17.1,110.2,114.5,118.8,65.4,19.0,75.1,27.2,10.7,22.0681956262692,6.5,3.6,3.5,4.3,78.9,23.4,4.2,35.4,28.7,24.1249406391073,53.8212235945769,22.9,19.3067127316919,12.4,19.9,30.1,4.32438465872366,57.4,5.0,86.7,5.07775243011216,102.040782254915,3.2,23.8,4.3,64.6,15.5,73.0,124.3,77.2,120.1,115.3,3.9,15.3,36.3,38.1,25.6,98.3157589714807,5.7,81.4,6.2,37.0517680841039,58.0047888106404,92.7771666626893,104.333280608399,35.3,86.6834074340862,61.3,4.3,20.4,36.0,2.7,4.7,4.1,17.7,20.7,3.3,22.5,58.7,31.7,47.5,65.1,4.3,11.0,22.8095318848822,22.1,91.7595210077979,58.4578978602324,17.534763007742,28.6,51.1909447178283,30.8143296937717,7.3,9.34233714976945,68.3778335175075,108.279809697604,31.0,28.0973689976836,5.88465912098327,65.2,20.3,105.471539853362,105.5,58.9180960664181,98.2,152.3,24.0479993418774,18.1503242037564,22.3232474355954,30.94100204363,65.2248254872569,105.466947297692,14.8,53.3,21.9
50,2010,86.4163803141884,87.8,122.054565158149,120.0,13.3,4.6,42.7782777951599,14.5,18.5,10.1,4.8,4.3,37.3,91.0,4.5,109.1,121.9,49.2,10.8,8.5,15.4,7.2,5.6,18.9,41.9,18.6,15.0,9.7,42.4,62.6,129.8,5.7,7.33933047357675,8.7,15.8,106.4,110.2,114.6,62.4,18.4,72.7,26.5,10.5,21.7223845461469,6.4,3.5,3.4,4.2,76.5,24.6,4.1,35.2,27.8,22.8901505690495,51.5232871129828,21.7,18.2335160179633,11.8,19.0,28.8,4.18918889170211,55.2,4.6,82.1,4.86152008774654,99.4802969476428,3.0,23.7,4.2,61.8,14.1,69.8,121.9,74.0,114.4,111.3,3.9,15.4,34.8,37.4,24.7,95.0321817022705,5.5,130.1,6.0,35.0472702311233,55.9404553252736,90.1004727848888,101.894554356641,33.9,83.8449719340647,58.1,4.2,19.3,34.9,2.7,4.6,4.0,17.3,20.1,3.2,20.4,56.1,29.6,43.9,64.5,4.1,10.7,23.363014685899,22.7,88.7171721471679,56.3706405120719,16.347925027359,27.6,49.2680506618603,29.7273962451931,7.2,8.9912582825026,64.8524220014105,104.597093197027,29.5,27.2489309056956,5.67468373363549,62.3,19.3,101.571653658934,101.6,56.2381167965635,88.3,148.4,22.8210537202395,17.1625940036095,22.818522883614,29.8480780655946,62.3600343355239,101.567654672133,14.5,51.4,20.2
51,2011,82.4915063909405,84.0,119.025138083374,112.2,12.2,4.3,41.5825797867018,13.9,17.6,9.5,4.5,4.2,34.8,85.6,4.4,106.9,117.2,46.7,10.4,8.1,15.1,6.9,5.2,18.4,39.5,17.9,14.9,9.8,40.1,61.2,126.4,5.7,6.96075370436281,8.5,14.6,103.2,105.9,110.7,60.1,17.8,70.3,25.5,10.2,21.1925920783143,6.2,3.3,3.3,4.1,74.3,25.8,4.1,35.2,27.1,21.7482215185159,48.958857336937,20.6,17.2791933961845,11.3,18.1,27.6,4.1064025096624,53.3,4.2,77.7,4.69538982321319,96.2170649990332,2.9,23.7,4.2,59.3,13.0,66.5,119.8,70.8,109.0,107.5,3.9,15.6,33.4,36.6,23.8,90.8998468415348,5.3,77.6,5.9,33.1687530772823,53.8129652455189,87.1757278546031,99.7344162432758,32.5,80.4878320958897,55.0,4.1,18.4,33.8,2.6,4.4,3.9,16.8,19.6,3.2,18.3,53.9,27.7,40.6,63.3,4.0,10.3,21.1572275676885,20.6,84.9639109767544,54.2003238082174,15.4004809163841,26.9,47.2344779093287,28.9991278608646,7.1,8.73518802312914,62.3568396134103,101.283281225766,27.7,26.9387845474955,5.56711239911785,59.6,18.4,98.0704746691224,98.1,54.2721735430753,76.5,144.5,21.6855847494273,16.331541843623,20.7961549998037,29.1190687416159,59.6181599820906,98.0664018415585,14.2,49.5,18.8
52,2012,78.7877273029938,80.3,116.249469226725,104.9,11.2,4.1,41.2585255621034,13.3,16.8,9.0,4.3,4.0,32.5,80.5,4.3,104.6,112.9,44.4,9.8,7.9,14.7,6.7,4.9,17.7,37.3,17.2,14.7,10.0,38.0,55.2,123.3,5.6,6.62907445067303,8.4,13.5,100.1,101.5,106.8,58.2,17.2,68.0,24.2,9.9,20.6578929450584,6.0,3.1,3.2,4.0,72.2,27.2,4.1,35.1,26.5,20.3477288998228,46.8079362102984,19.4,16.2970168836859,10.8,17.3,26.4,4.00722572976997,51.5,3.9,73.6,4.55142758276016,93.9546771987789,2.8,23.6,4.1,56.8,12.1,63.4,117.7,68.0,103.9,103.6,4.0,15.7,32.1,35.9,22.9,87.4955571092803,5.2,75.8,5.7,31.0303312387994,51.4711872510731,84.7684816903615,97.5432778257306,31.2,77.9665732670924,52.0,4.0,17.5,32.8,2.6,4.3,3.8,16.3,19.0,3.0,16.3,52.2,26.1,37.8,62.1,3.8,10.0,20.4277288568004,20.0,81.8064328497833,51.8280139478483,14.4552101488708,27.2,44.9441041882539,29.2489267201802,7.0,8.45706598695846,59.9237090228269,98.1950263157211,25.7,26.5355165200271,5.42719043245102,56.9,17.5,94.8064119569419,94.8,52.3206174048566,70.4,140.6,20.2928857260048,15.4332339530457,20.1151841291883,29.3812462056454,56.9829712143184,94.8024829507777,13.8,47.6,17.5
53,2013,75.4426897327386,76.8,113.664250457502,98.3,10.5,3.9,40.57842919506,12.7,15.9,8.6,4.1,3.9,30.3,75.7,4.2,102.3,108.7,42.1,9.2,7.7,14.4,6.5,4.6,16.9,35.2,16.7,14.6,10.2,36.3,50.3,121.1,5.5,6.33162232998522,8.3,12.5,96.9,96.9,103.3,56.4,16.7,65.8,22.8,9.6,20.2400396723032,5.9,3.0,3.2,4.0,69.9,28.5,4.1,35.1,26.1,19.5406486535475,44.7111739954827,18.6,15.488161107414,10.4,16.6,25.3,3.96265477811856,49.8,3.6,69.6,4.44558651411091,91.6646849872756,2.7,23.8,4.1,54.2,11.4,60.5,115.7,65.2,99.4,100.2,4.2,15.9,30.8,35.0,22.1,84.208360362708,5.1,73.9,5.6,29.5941448443314,49.9431780801971,82.2964619595661,95.3564571973171,30.0,75.3729750436489,49.1,3.9,16.8,31.7,2.6,4.1,3.7,15.9,18.5,2.9,14.6,50.1,24.7,35.3,60.7,3.7,9.6,19.7662056653451,19.4,78.7325881264925,50.2734674820398,13.6765393520598,26.8,43.4946869639401,28.8517064776919,6.8,8.23391839986488,57.7254147666911,95.2111313760039,24.0,26.1504921289928,5.32623749852911,54.3,16.7,91.7753246655872,91.8,50.5893780260962,67.9,136.9,19.4923192486597,14.7095285893598,19.5142142649045,28.988932628674,54.3254968834573,91.7717925376872,13.4,46.0,16.3
54,2014,72.4923836880967,73.4,111.432027289881,92.9,9.9,3.7,39.6726270161151,12.2,15.1,8.1,4.0,3.8,28.3,71.6,4.1,100.1,104.7,40.0,8.7,7.5,14.1,6.4,4.3,16.1,33.3,16.3,14.4,10.4,34.7,48.2,118.6,5.4,6.05244458568973,8.1,11.6,93.5,92.5,99.7,54.6,16.1,63.5,21.3,9.3,19.7236781526509,5.8,2.9,3.1,4.0,67.8,29.9,4.1,35.1,25.7,18.5013933072995,42.6098471729713,17.6,14.6711919021106,10.0,16.0,24.3,3.9181231307502,48.1,3.4,65.9,4.3583280563163,89.5643132373723,2.6,24.1,4.1,52.2,10.9,57.8,114.5,62.6,95.5,96.8,4.3,16.1,29.5,34.1,21.3,81.2341201659549,5.0,72.0,5.4,27.7816653125548,48.0984730961515,80.0753383507063,93.4214429562101,28.8,73.0421390320431,46.2,3.8,16.1,30.8,2.6,4.0,3.6,15.4,18.0,2.8,13.0,48.1,23.4,33.4,59.1,3.6,9.3,19.1904181951303,18.8,76.0559912515528,48.4140407509621,12.8970032703748,26.1,41.6895408912151,28.0172258662195,6.8,7.9846485512688,55.6758307413204,92.5890517483214,22.4,25.8092544400311,5.23111324267538,51.7,16.0,89.1108228398322,89.2,48.9297482386894,67.9,133.3,18.4586593108664,13.9333762702389,18.9938222821181,28.1200762938898,51.7313002315713,89.1074863156612,13.1,44.4,15.3
55,2015,69.8691858575132,70.2,109.185388765793,88.3,9.6,3.5,38.7619464817831,11.6,14.4,7.7,3.9,3.7,26.3,67.9,4.1,97.9,101.1,38.0,8.1,7.4,13.9,6.3,4.1,15.3,31.6,15.9,14.1,10.6,33.2,45.4,115.5,5.4,5.80981296773691,8.0,10.7,90.5,88.1,96.5,52.8,15.6,61.2,19.7,9.1,19.2026972577729,5.7,2.8,3.2,3.9,65.6,31.2,4.1,35.1,25.3,17.8870381583242,40.7674818072092,17.0,13.9057137701967,9.5,15.4,23.4,3.88160710252158,46.4,3.1,62.4,4.28077988303593,87.473151768486,2.5,24.5,4.2,50.4,10.5,55.4,112.6,60.1,91.8,93.7,4.4,16.2,28.4,33.1,20.5,78.4878748161431,4.9,70.1,5.1,26.6692319322774,46.9231041914571,77.9272966416414,91.5476358293467,27.7,70.8092772849323,43.6,3.7,15.5,29.8,2.6,3.9,3.5,15.0,17.5,2.8,11.9,45.9,22.3,31.7,57.5,3.5,9.1,18.6090531723079,18.4,73.643538452397,47.2171968887497,12.2181027251861,25.2,40.5914444167246,27.1331962312607,6.7,7.74470291948933,53.8334007032973,90.1859206830113,21.1,25.4866233587996,5.15399606327729,49.2,15.4,86.6397673675421,86.7,47.39143305889,64.4,129.5,17.8497628951971,13.2192487349699,18.5161143035962,27.2712045175177,49.258457095559,86.6365070520617,12.7,43.2,14.4
56,2016,67.3639290496706,67.2,106.891019087017,84.4,9.4,3.4,38.1830714590474,11.0,13.7,7.4,3.8,3.6,24.5,64.6,4.1,95.6,97.7,36.0,7.7,7.3,13.8,6.2,3.9,14.5,30.2,16.7,13.8,10.8,31.9,43.5,112.7,5.3,5.54831286535089,7.8,9.9,88.0,84.3,93.4,51.0,15.1,59.0,18.3,8.9,18.7787853133339,5.5,2.7,3.2,3.9,63.8,32.5,4.0,35.1,24.9,16.8487666608914,39.0610599945303,16.1,13.1849494244122,9.1,14.8,22.6,3.85132095136479,44.9,2.9,59.0,4.20078436944774,85.6425463278041,2.4,25.0,4.2,48.4,10.2,53.1,110.1,57.7,88.6,90.6,4.4,16.3,27.3,32.2,19.8,75.7489260227485,4.9,68.2,4.7,25.297330682241,45.3255339720473,75.7488235294345,89.6908746736675,26.6,68.4908200444302,41.0,3.6,15.0,28.8,2.7,3.8,3.4,14.6,17.0,2.7,11.0,43.8,21.1,30.3,56.1,3.4,9.0,18.4944781025208,18.5,71.10954889192,45.5847664948364,11.5859457509027,24.5,39.0902773813863,26.452993509101,6.6,7.50904700511121,51.7070723476592,87.8167804265219,20.0,25.1883743359716,5.05996286567527,46.8,14.8,84.2156507783717,84.3,45.719750610227,61.8,125.8,16.81294582033,12.5129513353344,18.6888664877505,26.5945169006358,46.7879290749728,84.2124371381434,12.3,41.9,13.5
57,2017,65.0910528384151,64.6,104.627006239061,81.1,9.3,3.2,36.9050681935873,10.3,13.0,7.1,3.8,3.6,22.9,61.7,4.1,93.4,94.5,34.1,7.3,7.3,13.6,6.1,3.6,13.7,28.9,15.4,13.4,11.0,30.6,39.9,110.9,5.3,5.31716800335814,7.6,9.2,85.6,80.8,90.3,49.3,14.6,56.9,17.0,8.7,18.3373290191121,5.4,2.7,3.2,3.9,61.9,33.6,4.0,35.1,24.5,16.0412377198309,37.3677721127127,15.4,12.6778331569539,8.7,14.4,21.8,3.83453986177686,43.4,2.7,56.0,4.14832436717768,83.5199987742669,2.4,25.6,4.3,46.6,10.0,51.0,108.3,55.5,85.5,87.6,4.3,16.4,26.3,31.3,19.1,73.3916782343602,4.8,66.3,4.5,24.0188277599916,43.9659663142667,73.6555883103947,87.7490358481065,25.6,66.3503133679974,38.7,3.5,14.5,27.9,2.7,3.8,3.3,14.1,16.5,2.6,10.5,42.4,20.0,28.9,54.4,3.3,8.9,17.679365364625,17.8,68.9640845990014,44.2159067539406,10.9099215633539,23.3,37.8198490902199,25.2791380730825,6.5,7.33186398757159,49.8980762703068,85.5670880711354,19.0,24.8814714358366,4.99176093501985,44.6,14.3,81.9045607305576,82.0,44.2760514712621,63.2,121.9,16.0075179359525,11.9760225568228,17.9326625197848,25.4111917915221,44.6900354322371,81.9014709666237,11.9,40.6,12.6
58,2018,62.8571893618424,62.2,102.014143939794,78.0,9.3,3.1,36.4049846105514,9.5,12.4,6.8,3.8,3.6,21.5,59.1,4.1,91.1,91.3,32.2,7.0,7.2,13.5,6.0,3.4,13.0,27.7,15.2,13.0,11.2,29.6,39.0,108.8,5.2,5.05556492227778,7.4,8.6,82.8,77.7,87.2,47.7,14.1,54.9,15.9,8.4,17.8781033123786,5.3,2.8,3.1,3.8,59.9,34.5,3.9,34.8,24.0,16.0533642985306,35.8620963001872,15.2,12.2418862980841,8.4,13.9,21.0,3.78960107556541,41.9,2.5,53.2,4.04891190976439,81.5017611089972,2.3,26.3,4.3,44.9,9.8,49.1,106.2,53.4,82.4,84.7,4.2,16.5,25.4,30.3,18.4,71.0683925506908,4.8,64.4,4.2,23.489820174703,43.468362056317,71.5122541706509,85.3474519287189,24.6,64.375027703578,36.4,3.4,14.0,27.0,2.7,3.7,3.2,13.7,16.0,2.5,10.3,40.8,19.0,27.8,52.9,3.2,8.8,17.2022424965517,17.3,66.8651003770097,43.7087758739281,10.6009356985368,23.1,37.3660986312237,25.0445894120069,6.4,7.12345376094387,48.4819950526618,83.1989780947426,18.2,24.5904703008565,4.90900006329073,42.5,13.8,79.4745562001632,79.6,43.121497770992,59.6,118.0,16.026164598731,11.5537276837012,17.4701020893922,25.1838520860093,42.5054818026808,79.4716717817178,11.5,40.0,11.9
59,2019,60.8559168091663,59.9,99.5519597978544,75.0,9.4,3.0,35.7255030718043,8.6,11.8,6.6,3.8,3.6,20.4,56.7,4.1,88.6,88.2,30.4,6.7,7.1,23.4,5.9,3.1,12.3,26.6,14.9,12.7,11.4,28.5,37.7,105.9,5.2,4.87393282462713,7.1,8.0,79.7,75.1,84.4,52.4,13.7,53.1,15.0,8.2,17.9718698247641,5.2,2.8,3.0,3.7,57.9,35.2,3.8,34.3,23.5,15.6300452525527,34.5064510717603,14.9,11.8824831975775,8.2,13.4,20.3,3.71950772425537,40.6,2.3,50.9,3.94959449092216,79.4904317089545,2.3,26.9,4.3,43.2,9.7,47.2,104.0,51.5,79.5,81.9,4.0,16.5,24.6,29.4,17.8,68.9244980391454,4.7,62.5,4.1,22.5782919934552,42.593979792178,69.4996484077374,83.250180451727,23.8,62.4559109905641,34.3,3.3,13.5,26.2,2.7,3.5,3.0,13.2,15.5,2.5,10.2,39.4,18.3,26.8,51.4,3.1,8.8,16.7213765818112,16.8,64.8720856694567,42.8168003111477,10.1830873709431,22.7,36.5168033840096,24.7333499213436,6.3,6.9158014111144,47.1205212393103,80.955371199092,17.3,24.253031287717,4.83153315017336,40.6,13.3,77.2416626524033,77.3,42.0113299598769,56.9,114.3,15.6080783362241,11.2126133088751,16.9778999017831,24.88070213978,40.5893697389626,77.2389690118192,11.2,39.3,11.2
60,2020,59.0873088673173,57.8,96.92830727855,72.1,9.4,2.8,34.8094619005862,7.7,11.3,6.4,3.7,3.6,19.4,54.6,4.1,86.0,85.4,28.8,6.5,7.0,13.3,5.7,2.9,11.7,25.6,14.7,12.3,11.5,27.5,36.3,103.0,5.1,4.75936674881842,6.9,7.4,77.3,72.4,81.7,44.5,13.3,51.3,14.2,7.9,16.9809709558246,5.1,2.8,2.9,3.6,56.0,35.6,3.7,33.7,22.9,15.6729801763826,33.1501191147154,14.8,11.4469165840303,7.9,12.9,19.6,3.66611567827771,39.3,2.1,48.7,3.88051216978732,77.3889486637936,2.2,27.5,4.4,41.0,9.6,45.5,101.6,49.6,77.0,79.3,3.9,16.4,23.8,28.5,17.1,66.8371389845373,4.7,60.5,4.0,22.0138470548038,42.0893095764273,67.5323691563034,80.9705886947991,22.9,60.668232821736,32.4,3.2,13.0,25.4,2.7,3.4,2.8,12.8,15.0,2.4,10.2,38.6,17.8,25.8,49.8,3.0,8.8,16.2520491927768,16.4,62.980568403575,42.3047115808683,9.91389720423857,22.1,36.0563557962952,24.1160941252816,6.2,6.73767158712066,45.6574815517043,78.7014525308702,16.5,23.9136502019261,4.74389790172793,38.8,12.8,75.1159228780245,75.1,40.7458561468558,56.2,110.5,15.6611564040171,10.8164190888665,16.5052691338794,24.2640136758541,38.8464935320085,75.1134025935319,10.9,38.7,10.5
61,2021,57.2847270993243,55.7,94.3722350431445,69.4,9.5,2.8,34.4545113311025,6.9,10.7,6.1,3.7,3.7,18.6,52.6,4.1,83.5,82.6,27.3,6.3,6.9,13.2,5.6,2.7,11.2,24.7,14.4,11.9,11.5,26.7,34.9,99.9,5.0,4.62235279569629,6.6,6.9,74.8,69.8,79.0,43.0,12.8,49.7,13.5,7.6,16.5282037380229,5.0,2.8,2.8,3.6,54.1,35.9,3.6,33.0,22.3,15.5339056879261,31.9153269085937,14.7,11.0471033977391,7.6,12.5,19.0,3.60947611561038,38.1,2.0,46.8,3.80230992275468,75.426000016036,2.2,27.7,4.4,39.7,9.5,44.0,98.7,47.9,74.3,76.8,3.7,16.2,23.0,27.7,16.6,64.8617256309704,4.6,58.6,4.0,21.3590243647904,41.321631381696,65.6972911386609,78.8223950007337,22.2,59.0391731716484,30.6,3.1,12.6,24.5,2.6,3.4,2.6,12.4,14.6,2.3,10.3,37.2,17.4,24.8,48.2,2.9,8.7,15.7620021468373,15.9,61.2611451464136,41.5276401269211,9.64048140062325,22.0,35.3088509956501,23.9083172550487,6.1,6.49938518639537,44.4495237866315,76.4652069865919,15.4,23.4426605219874,4.66543529657963,37.1,12.4,72.997105062973,73.0,39.6550144536475,52.6,107.1,15.5361569714378,10.4407161775888,16.0224068465702,24.0625605729166,37.0519601369135,72.9947339957363,10.5,38.1,10.0
